COUNTRY,UNIVERSITY,Approved Major,Specific Major as Listed by University,Deadline Passed as of Jan 3?,,,,
Canada,University of British Columbia ,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Geographical Biogeosciences,Yes,,,,
France,Université Paris Cité (formerly Université de Paris),"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Science,,,,,
Germany,Heidelberg University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Molecular Biotechnology,,,,,
Germany,Heidelberg University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Medical Informatics,,,,,
Hong Kong SAR,City University of Hong Kong  ,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Sciences,,,,,
Hong Kong SAR,Hong Kong Polytechnic University  ,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering Hons.,,,,,
Hong Kong SAR,Hong Kong Polytechnic University  ,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Medical Laboratory Science,,,,,
Hong Kong SAR,Hong Kong University of Science & Technology,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biochemistry & Cell Biology ,,,,,
Hong Kong SAR,Hong Kong University of Science & Technology,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Chemical & Biomolecular Engineering,,,,,
Hong Kong SAR,University of Hong Kong,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Sciences ,,,,,
Hong Kong SAR,University of Hong Kong,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering,,,,,
Singapore,Nanyang Technological University ,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Sciences & Chinese Medicine ,,,,,
Singapore,Nanyang Technological University ,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biological Sciences with Biomedical Structural Biology,,,,,
Sweden,Lund University ,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedicine,,,,,
Switzerland,University of Zurich  ,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedicine,,,,,
United States,Boston University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Boston University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Laboratory & Clinical Sciences,Yes,,,,
United States,Brown University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Carnegie Mellon University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Duke University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Duke University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology","Biology (concentration in Anatomy, Physiology & Biomechanics) ",Yes,,,,
United States,Duke University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biology (concentration in Cell & Molecular Biology) ,Yes,,,,
United States,Duke University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biology (concentration in Genomics) ,Yes,,,,
United States,Emory University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Medical Imaging,Yes,,,,
United States,Georgia Institute of Technology,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Massachusetts Institute of Technology (MIT),"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biological Engineering,Yes,,,,
United States,Michigan State University (East Lansing),"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Laboratory Science ,,,,,
United States,Northwestern University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Ohio State University (Columbus),"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,,,,,
United States,Ohio State University (Columbus),"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Science,,,,,
United States,Ohio State University (Columbus),"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Medical Laboratory Science,,,,,
United States,Purdue University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering,,,,,
United States,Purdue University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biological Engineering: Cellular & Biomolecular Engineering,,,,,
United States,Purdue University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biological Engineering: Food & Biological Process Engineering,,,,,
United States,Purdue University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biological Engineering: Pharmaceutical Process Engineering,,,,,
United States,Purdue University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Medical Laboratory Sciences ,,,,,
United States,Rice University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Bioengineering,,,,,
United States,Stanford University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Bioengineering,Yes,,,,
United States,"University of California, Davis","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,"University of California, Davis","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biological Systems Engineering ,Yes,,,,
United States,"University of California, Davis","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Genetics & Genomics ,Yes,,,,
United States,"University of California, Irvine","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,"University of California, Los Angeles","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,"University of California, Los Angeles","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Bioengineering ,Yes,,,,
United States,University of Colorado Boulder,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering (BS),,,,,
United States,University of Illinois at Urbana-Champaign,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Bioengineering ,Yes,,,,
United States,University of Illinois at Urbana-Champaign,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Agricultural & Biological Engineering,Yes,,,,
United States,"University of Maryland, College Park","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Bioengineering ,Yes,,,,
United States,"University of Maryland, College Park","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Cell Biology & Genetics,Yes,,,,
United States,University of Michigan,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering,,,,,
United States,University of Minnesota,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,University of Minnesota,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Medical Laboratory Science,Yes,,,,
United States,"University of North Carolina, Chapel Hill","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical & Health Sciences Engineering ,Yes,,,,
United States,"University of North Carolina, Chapel Hill","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biostatistics ,Yes,,,,
United States,"University of North Carolina, Chapel Hill","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Radiologic Science ,Yes,,,,
United States,University of Pennsylvania,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Bioengineering ,Yes,,,,
United States,University of Pennsylvania,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Chemical & Biomolecular Engineering,Yes,,,,
United States,University of Pittsburgh,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Bioengineering ,,,,,
United States,University of Southern California,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,,,,,
United States,University of Southern California,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology","Biomedical Engineering, Biochemical Engineering Emphasis ",,,,,
United States,University of Southern California,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology","Biomedical Engineering, Electrical Engineering Emphasis ",,,,,
United States,University of Southern California,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology","Biomedical Engineering, Mechanical Engineering Emphasis ",,,,,
United States,University of Southern California,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Science & Management of Biomedical Therapeutics,,,,,
United States,University of Texas at Austin,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering,,,,,
United States,University of Washington,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Sciences,Yes,,,,
United States,"University of Wisconsin, Madison","Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering,Yes,,,,
United States,Vanderbilt University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Vanderbilt University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Neuroscience ,Yes,,,,
United States,Washington University in St. Louis,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Yale University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Cornell University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Johns Hopkins University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Biomedical Engineering ,Yes,,,,
United States,Johns Hopkins University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Chemical & Biomolecular Engineering,Yes,,,,
United States,Princeton University,"Biomedical Science, Medical Laboratory Science, Medical Laboratory Technology",Chemical & Biological Engineering,Yes,,,,
Netherlands,University of Amsterdam,Business Intelligence (Fintech),Business Analytics,,,,,
United States,Carnegie Mellon University,Business Intelligence (Fintech),Business Intelligence & Data Analytics,Yes,,,,
United States,Massachusetts Institute of Technology (MIT),Business Intelligence (Fintech),Business Analytics,Yes,,,,
United States,Ohio State University (Columbus),Business Intelligence (Fintech),Data Analytics,,,,,
United States,Purdue University,Business Intelligence (Fintech),Systems Analysis & Design,,,,,
United States,Purdue University,Business Intelligence (Fintech),"Supply Chain, Information & Analytics",,,,,
United States,"University of California, Davis",Business Intelligence (Fintech),Mathematical Analytics and Operations Research,Yes,,,,
United States,"University of California, Irvine",Business Intelligence (Fintech),Business Information Management,Yes,,,,
United States,University of Maryland-College Park,Business Intelligence (Fintech),Operations Management & Business Analytics,Yes,,,,
Australia,University of Adelaide,Chemistry,Chemistry  ,,,,,
Australia,Monash University,Chemistry,Chemistry,,,,,
Canada,McGill University,Chemistry,Chemistry,Yes,,,,
Canada,McMaster University,Chemistry,Chemistry (Hons),,,,,
Canada,University of British Columbia,Chemistry,Chemistry,Yes,,,,
Canada,University of British Toronto,Chemistry,Biochemistry (Hons),Yes,,,,
Canada,University of British Toronto,Chemistry,Chemistry,Yes,,,,
France,Université Paris Cité (formerly Université de Paris),Chemistry,Chemistry,,,,,
France,Université Paris Cité (formerly Université de Paris),Chemistry,Chemistry – Chemistry/Biology,,,,,
Germany,Heidelberg University,Chemistry,Chemistry,,,,,
Germany,LMU Munich (Ludwig-Maximilians-Universität München),Chemistry,Chemistry and Biochemistry,,,,,
Germany,RWTH Aachen University,Chemistry,Chemistry B.Sc.,,,,,
Germany,University of Hamburg (Universität Hamburg),Chemistry,Chemistry B.Sc.,,,,,
Hong Kong SAR,Hong Kong Polytechnic University,Chemistry,Chemical Technology (Hons),,,,,
Hong Kong SAR,Hong Kong University of Science and Technology,Chemistry,Chemistry,,,,,
Netherlands,University of Groningen,Chemistry,Chemistry,,,,,
Singapore,Nanyang Technological University ,Chemistry,Chemistry and Biological Chemistry (Hons),,,,,
South Korea,Seoul National University,Chemistry,Applied Life Chemistry,,,,,
South Korea,Yonsei University,Chemistry,Chemistry,,,,,
Switzerland,University of Zurich,Chemistry,Chemistry,,,,,
United States,Boston University,Chemistry,Chemistry,Yes,,,,
United States,Boston University,Chemistry,Chemistry – Biochemistry,Yes,,,,
United States,Brown University,Chemistry,Chemistry,Yes,,,,
United States,Columbia University,Chemistry,Chemistry,Yes,,,,
United States,Cornell University,Chemistry,Chemistry and Chemical Biology,Yes,,,,
United States,Emory University,Chemistry,Chemistry,Yes,,,,
United States,Georgia Institute of Technology,Chemistry,Chemistry,Yes,,,,
United States,Johns Hopkins University,Chemistry,Chemistry,Yes,,,,
United States,Massachusetts Institute of Technology (MIT),Chemistry,Chemistry,Yes,,,,
United States,Massachusetts Institute of Technology (MIT),Chemistry,Chemistry and Biology,Yes,,,,
United States,Michigan State University (East Lansing),Chemistry,Chemistry,,,,,
United States,New York University,Chemistry,Chemistry,Yes,,,,
United States,Northwestern University,Chemistry,Chemistry,Yes,,,,
United States,Ohio State University (Columbus),Chemistry,Chemistry,,,,,
United States,Purdue University,Chemistry,Chemistry (ACS – approved by the American Chemical Society) BSCH,,,,,
United States,Purdue University,Chemistry,Chemistry BS,,,,,
United States,Rice University,Chemistry,Chemistry,,,,,
United States,Stanford University,Chemistry,Chemistry,Yes,,,,
United States,Stanford University,Chemistry,Chemistry (Hons),Yes,,,,
United States,"University of California, Berkeley",Chemistry,Chemistry,Yes,,,,
United States,"University of California, Davis",Chemistry,Chemistry,Yes,,,,
United States,"University of California, Irvine",Chemistry,Chemistry,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Chemistry,Biochemistry,Yes,,,,
United States,"University of California, Los Angeles (UCLA)",Chemistry,Chemistry,Yes,,,,
United States,"University of California, San Diego",Chemistry,Biochemistry,Yes,,,,
United States,"University of California, San Diego",Chemistry,Chemistry,Yes,,,,
United States,"University of California, San Diego",Chemistry,Environmental Chemistry,Yes,,,,
United States,"University of California, Santa Barbara",Chemistry,Biochemistry,Yes,,,,
United States,"University of California, Santa Barbara",Chemistry,Chemistry,Yes,,,,
United States,"University of California, Santa Barbara",Chemistry,Environmental Chemistry,Yes,,,,
United States,University of Chicago,Chemistry,Biochemistry,Yes,,,,
United States,University of Chicago,Chemistry,Chemistry,Yes,,,,
United States,University of Colorado Boulder,Chemistry,Chemistry (BA),,,,,
United States,University of Illinois at Urbana-Champaign,Chemistry,Chemistry,Yes,,,,
United States,University of Maryland College Park,Chemistry,Chemistry,Yes,,,,
United States,University of Michigan,Chemistry,Biochemistry,,,,,
United States,University of Michigan,Chemistry,Chemical Science,,,,,
United States,University of Michigan,Chemistry,Chemistry,,,,,
United States,University of Michigan,Chemistry,Interdisciplinary Chemical Science,,,,,
United States,University of Minnesota,Chemistry,Chemistry,Yes,,,,
United States,University of North Carolina Chapel Hill,Chemistry,Chemistry,Yes,,,,
United States,University of Pennsylvania,Chemistry,Biochemistry,Yes,,,,
United States,University of Pennsylvania,Chemistry,Chemistry,Yes,,,,
United States,University of Pittsburgh,Chemistry,Chemistry,,,,,
United States,University of Southern California,Chemistry,Biochemistry,,,,,
United States,University of Southern California,Chemistry,Chemistry,,,,,
United States,University of Southern California,Chemistry,Chemistry (Chemical Biology),,,,,
United States,University of Southern California,Chemistry,Chemistry (Research),,,,,
United States,University of Texas at Austin,Chemistry,Chemistry,,,,,
United States,University of Washington,Chemistry,Chemistry,Yes,,,,
United States,University of Wisconsin Madison,Chemistry,Chemistry,Yes,,,,
United States,Vanderbilt University,Chemistry,Biochemistry and Chemical Biology,Yes,,,,
United States,Vanderbilt University,Chemistry,Chemistry,Yes,,,,
United States,Washington University in St. Louis,Chemistry,Chemistry,Yes,,,,
United States,Yale University,Chemistry,Chemistry,Yes,,,,
Australia,University of Queensland,Clinical Research,Clinical and Experimental Therapeutics,,,,,
United States,Boston University,Clinical Research,Biomedical Laboratory and Clinical Sciences,Yes,,,,
United States,Washington University in St. Louis,Clinical Research,Clinical Research Management,Yes,,,,
Hong Kong SAR,City University of Hong Kong,Conservation of Cultural Material,Culture and Heritage Management,,,,,
Hong Kong SAR,University of Hong Kong,Conservation of Cultural Material,Conservation,,,,,
United States,Savannah College of Art and Design (SCAD),Conservation of Cultural Material,Preservation Design BFA,,,,,
Australia,Australian National University,Corporate Law / English Common Law,Laws Hons.,,,,,
Australia,University of Technology Sydney,Corporate Law / English Common Law,Laws,,,,,
Australia,University of Western Australia,Corporate Law / English Common Law,Business Law,,,,,
Canada,McGill University,Corporate Law / English Common Law,Law,Yes,,,,
Canada,University of Alberta,Corporate Law / English Common Law,Business Economics & Law,,,,,
United States,Michigan State University (East Lansing),Corporate Law / English Common Law,Humanities – Prelaw,,,,,
Australia,Australian National University,Cultural Studies,Asian Studies (Hons),,,,,
Australia,Australian National University,Cultural Studies,Classical Studies,,,,,
Australia,Australian National University,Cultural Studies,Development Studies,,,,,
Australia,Australian National University,Cultural Studies,Middle Eastern and Central Asian Studies,,,,,
Australia,Australian National University,Cultural Studies,Pacific Studies,,,,,
Australia,Australian National University,Cultural Studies,Visual Arts,,,,,
Australia,Monash University,Cultural Studies,Global Studies,,,,,
Australia,University of Western Australia,Cultural Studies,Asian Studies,,,,,
Australia,University of Western Australia,Cultural Studies,English and Cultural Studies,,,,,
Australia,University of Western Australia,Cultural Studies,"Indigenous Knowledge, History and Heritage",,,,,
Australia,University of Western Australia,Cultural Studies,Japanese,,,,,
Canada,McGill University,Cultural Studies,African Studies,Yes,,,,
Canada,McGill University,Cultural Studies,Canadian Studies,Yes,,,,
Canada,McGill University,Cultural Studies,English – Cultural Studies,Yes,,,,
Canada,McGill University,Cultural Studies,Education – First Nations and Inuit Studies,Yes,,,,
Canada,McGill University,Cultural Studies,Education – Jewish Studies,Yes,,,,
Canada,McGill University,Cultural Studies,German Studies,Yes,,,,
Canada,McGill University,Cultural Studies,Hispanic Studies,Yes,,,,
Canada,McGill University,Cultural Studies,Italian Studies,Yes,,,,
Canada,McGill University,Cultural Studies,Jewish Studies,Yes,,,,
Canada,McGill University,Cultural Studies,Latin-American and Caribbean Studies ,Yes,,,,
Canada,McMaster University,Cultural Studies,English and Cultural Studies,,,,,
Canada,McMaster University,Cultural Studies,Indigenous Studies (Hons) ,,,,,
Canada,University of Alberta,Cultural Studies,"Clothing, Textiles and Material Culture",,,,,
Canada,University of Alberta,Cultural Studies,Modern Language and Cultural Studies,,,,,
Canada,University of Alberta,Cultural Studies,Native Studies,,,,,
Canada,University of Alberta,Cultural Studies,Native Studies – Elementary Education,,,,,
Canada,University of Alberta,Cultural Studies,Native Studies – Secondary Studies,,,,,
Canada,University of Alberta,Cultural Studies,Women and Gender Studies ,,,,,
Canada,University of British Columbia,Cultural Studies,Asian Area Studies,Yes,,,,
Canada,University of British Columbia,Cultural Studies,Asian Language and Culture,Yes,,,,
Canada,University of British Columbia,Cultural Studies,Canadian Studies,Yes,,,,
Canada,University of British Columbia,Cultural Studies,"Classical, Near Eastern, and Religious Studies",Yes,,,,
Canada,University of British Columbia,Cultural Studies,Cultural Studies,Yes,,,,
Canada,University of British Columbia,Cultural Studies,First Nations and Endangered Languages,Yes,,,,
Canada,University of British Columbia,Cultural Studies,First Nations and Indigenous Studies,Yes,,,,
Canada,University of British Columbia,Cultural Studies,Gender and Women’s Studies,Yes,,,,
Canada,University of British Columbia,Cultural Studies,"Gender, Race, Sexuality and Social Justice",Yes,,,,
Canada,University of British Columbia,Cultural Studies,Indigenous Studies,Yes,,,,
Canada,University of British Columbia,Cultural Studies,Latin American Studies,Yes,,,,
Canada,University of British Columbia,Cultural Studies,Museum Studies,Yes,,,,
Canada,University of British Columbia,Cultural Studies,United States Studies ,Yes,,,,
Canada,University of Toronto,Cultural Studies,African Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,Canadian Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,Celtic Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,"Communication, Culture, Information and Technology (Hons)",Yes,,,,
Canada,University of Toronto,Cultural Studies,Contemporary Asian Studies Program,Yes,,,,
Canada,University of Toronto,Cultural Studies,East Asian Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,Finnish Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,Global Asia Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,Greek,Yes,,,,
Canada,University of Toronto,Cultural Studies,Hungarian Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,Indigenous Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,Italian,Yes,,,,
Canada,University of Toronto,Cultural Studies,Latin American Studies,Yes,,,,
Canada,University of Toronto,Cultural Studies,Music and Culture,Yes,,,,
Canada,University of Toronto,Cultural Studies,Near and Middle Eastern Civilizations,Yes,,,,
Canada,University of Toronto,Cultural Studies,Renaissance Studies ,Yes,,,,
Germany,University Heidelberg,Cultural Studies,Christianity and Culture,,,,,
Germany,University Heidelberg,Cultural Studies,East Asian Art History,,,,,
Germany,University Heidelberg,Cultural Studies,Japanese Studies ,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Ancient Hebrew Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Catalan Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,East Asian Studies with a Focus on Japanese Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,East Asian Studies with a Focus on Korean Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,East Asian Studies with a Focus on Sinology,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Eastern European Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,English and American Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Latin American Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Middle Eastern Studies with a Focus on Iranian Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Middle Eastern Studies with a Focus on Islamic Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Middle Eastern Studies with a Focus on Turkish Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Modern Greek and Byzantine Studies,,,,,
Germany,University of Hamburg (Universität Hamburg),Cultural Studies,Slavic Studies,,,,,
Hong Kong SAR,City University of Hong Kong,Cultural Studies,Asian and International Studies,,,,,
Hong Kong SAR,City University of Hong Kong,Cultural Studies,Culture and Heritage Management,,,,,
Hong Kong SAR,Hong Kong University of Science and Technology,Cultural Studies,Global China Studies – Humanities and Social Science,,,,,
Netherlands,Leiden University,Cultural Studies,Archaeology,,,,,
Netherlands,Leiden University,Cultural Studies,Cultural Anthropology and Development Studies,,,,,
Netherlands,Leiden University,Cultural Studies,Dutch Studies,,,,,
Netherlands,Leiden University,Cultural Studies,English Language and Culture,,,,,
Netherlands,Leiden University,Cultural Studies,Human Diversity – Culture History and Society,,,,,
Netherlands,Leiden University,Cultural Studies,International Studies,,,,,
Netherlands,Leiden University,Cultural Studies,South and Southeast Asian Studies,,,,,
Netherlands,Leiden University,Cultural Studies,Urban Studies,,,,,
Netherlands,University of Amsterdam,Cultural Studies,Literary and Cultural Analysis,,,,,
Netherlands,University of Amsterdam,Cultural Studies,Media and Culture,,,,,
Netherlands,University of Groningen,Cultural Studies,"Arts, Culture and Media",,,,,
Netherlands,University of Groningen,Cultural Studies,English Language and Culture,,,,,
Netherlands,University of Groningen,Cultural Studies,Minorities and Multilingualism,,,,,
Netherlands,University of Groningen,Cultural Studies,Studio Art,,,,,
New Zealand,University of Auckland,Cultural Studies,Arts,,,,,
New Zealand,University of Auckland,Cultural Studies,Global Studies,,,,,
South Korea,Seoul National University,Cultural Studies,Information Science and Culture Technology Studies,,,,,
United States,Georgia Institute of Technology,Cultural Studies,Applied Language and Intercultural Studies,Yes,,,,
United States,Michigan State University (East Lansing),Cultural Studies,Arabic,,,,,
United States,Michigan State University (East Lansing),Cultural Studies,Comparative Cultures and Politics,,,,,
United States,Michigan State University (East Lansing),Cultural Studies,English,,,,,
United States,Ohio State University (Columbus),Cultural Studies,African American and African Studies,,,,,
United States,Ohio State University (Columbus),Cultural Studies,Ancient History and Classics,,,,,
United States,Ohio State University (Columbus),Cultural Studies,Comparative Studies,,,,,
United States,Ohio State University (Columbus),Cultural Studies,Hebrew and Jewish Studies,,,,,
United States,Ohio State University (Columbus),Cultural Studies,Japanese,,,,,
United States,Ohio State University (Columbus),Cultural Studies,Korean,,,,,
United States,Ohio State University (Columbus),Cultural Studies,Modern Greek,,,,,
United States,Purdue University,Cultural Studies,African American Studies,,,,,
United States,Purdue University,Cultural Studies,American Studies,,,,,
United States,Purdue University,Cultural Studies,Asian Studies,,,,,
United States,Purdue University,Cultural Studies,German,,,,,
United States,Purdue University,Cultural Studies,Italian Studies,,,,,
United States,Purdue University,Cultural Studies,Japanese,,,,,
United States,Purdue University,Cultural Studies,Jewish Studies,,,,,
United States,Stanford University,Cultural Studies,African and African American Studies,Yes,,,,
United States,Stanford University,Cultural Studies,African and African American Studies (Hons),Yes,,,,
United States,Stanford University,Cultural Studies,American Studies,Yes,,,,
United States,Stanford University,Cultural Studies,American Studies (Hons),Yes,,,,
United States,Stanford University,Cultural Studies,Asian American Studies,Yes,,,,
United States,Stanford University,Cultural Studies,Chicana/o-Latina/o Studies,Yes,,,,
United States,Stanford University,Cultural Studies,China Studies,Yes,,,,
United States,Stanford University,Cultural Studies,East Asian Studies,Yes,,,,
United States,Stanford University,Cultural Studies,Japanese,Yes,,,,
United States,Stanford University,Cultural Studies,Jewish Studies,Yes,,,,
United States,Stanford University,Cultural Studies,Korean,Yes,,,,
United States,Stanford University,Cultural Studies,Native American Studies,Yes,,,,
United States,Stanford University,Cultural Studies,Spanish,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,African American Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,American Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Asian American and Asian Diaspora Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Dutch Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,"East Asian Religion, Thought, and Culture",Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Ethnic Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Gender and Women’s Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Global Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Greek,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Interdisciplinary Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Italian Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Japanese Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Native American Studies,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Near Eastern Civilizations,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Near Eastern Languages and Literatures,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,Scandinavian,Yes,,,,
United States,"University of California, Berkeley",Cultural Studies,South and Southeast Asian Studies,Yes,,,,
United States,"University of California, Davis",Cultural Studies,African American and African Studies,Yes,,,,
United States,"University of California, Davis",Cultural Studies,American Studies,Yes,,,,
United States,"University of California, Davis",Cultural Studies,Asian American Studies,Yes,,,,
United States,"University of California, Davis",Cultural Studies,Chicana – Chicano Studies,Yes,,,,
United States,"University of California, Davis",Cultural Studies,Chinese,Yes,,,,
United States,"University of California, Davis",Cultural Studies,Classical Civilization,Yes,,,,
United States,"University of California, Davis",Cultural Studies,East Asian Studies,Yes,,,,
United States,"University of California, Davis",Cultural Studies,"Gender, Sexuality and Women’s Studies",Yes,,,,
United States,"University of California, Davis",Cultural Studies,German,Yes,,,,
United States,"University of California, Davis",Cultural Studies,Italian,Yes,,,,
United States,"University of California, Davis",Cultural Studies,Japanese,Yes,,,,
United States,"University of California, Davis",Cultural Studies,"Middle East, South Asia Studies",Yes,,,,
